phase,workers,urn,mode,origin_set,part,radius_km,n_origins,elapsed_s,http_status,outcome,n_reachable,max_distance_km,n_walk_reachable,max_walk_distance_km,peak_rss_kib,group_wall_s,missing_from_full,error
scaling,1,137353,TRANSIT,30km,all,30,2830,5.218459,200,ok,1810,29.98808759467354,87,5.420341275151254,3100672,,,
scaling,1,137353,BIKE,30km,all,30,2830,0.693101,200,ok,1277,22.141761773749526,,,3135504,,,
scaling,1,137353,CAR,30km,all,30,2830,1.064474,200,ok,2632,29.997457297847312,,,3403744,,,
scaling,1,137353,TRANSIT,60km,all,60,11316,2.394793,200,ok,2461,59.97591498343722,87,5.420341275151254,3715936,,,
scaling,1,137353,BIKE,60km,all,60,11316,1.232193,200,ok,1277,22.141761773749526,,,3736704,,,
scaling,1,137353,CAR,60km,all,60,11316,1.169725,200,ok,10313,59.992760591988144,,,3899248,,,
scaling,1,137353,TRANSIT,100km,all,100,31423,3.225985,200,ok,2521,81.20990683106794,87,5.420341275151254,4135632,,,
scaling,1,137353,BIKE,100km,all,100,31423,2.246668,200,ok,1277,22.141761773749526,,,4156384,,,
scaling,1,137353,CAR,100km,all,100,31423,1.448419,200,ok,21375,99.9969410417447,,,4170496,,,
scaling,1,137353,TRANSIT,england,all,,382800,0.000653,,failed,,,,,4170512,,,[Errno 32] Broken pipe
scaling,1,137353,TRANSIT,england,alla,,191400,0.000497,,failed,,,,,4170512,,,[Errno 32] Broken pipe
scaling,1,137353,TRANSIT,england,allaa,,95700,0.000518,,failed,,,,,4170512,,,[Errno 32] Broken pipe
scaling,1,137353,TRANSIT,england,allaaa,,47850,0.000428,,failed,,,,,4170512,,,[Errno 32] Broken pipe
scaling,1,137353,TRANSIT,england,allaaaa,,23925,0.167881,200,ok,0,0,0,0,4171264,,,
scaling,1,137353,TRANSIT,england,allaaab,,23925,0.236892,200,ok,0,0,0,0,4174112,,,
scaling,1,137353,TRANSIT,england,allaab,,47850,0.000521,,failed,,,,,4174128,,,[Errno 32] Broken pipe
scaling,1,137353,TRANSIT,england,allaaba,,23925,0.339109,200,ok,0,0,0,0,4183552,,,
scaling,1,137353,TRANSIT,england,allaabb,,23925,0.332935,200,ok,0,0,0,0,4190048,,,
scaling,1,137353,TRANSIT,england,allab,,95700,0.000533,,failed,,,,,4190048,,,[Errno 32] Broken pipe
scaling,1,137353,TRANSIT,england,allaba,,47850,0.000454,,failed,,,,,4190048,,,[Errno 32] Broken pipe
scaling,1,137353,TRANSIT,england,allabaa,,23925,0.449048,200,ok,0,0,0,0,4202688,,,
scaling,1,137353,TRANSIT,england,allabab,,23925,0.500306,200,ok,0,0,0,0,4212048,,,
scaling,1,137353,TRANSIT,england,allabb,,47850,0.000504,,failed,,,,,4212048,,,[Errno 32] Broken pipe
scaling,1,137353,TRANSIT,england,allabba,,23925,1.050456,200,ok,0,0,0,0,4252640,,,
scaling,1,137353,TRANSIT,england,allabbb,,23925,1.544788,200,ok,0,0,0,0,4380960,,,
scaling,1,137353,TRANSIT,england,allb,,191400,0.000556,,failed,,,,,4380960,,,[Errno 32] Broken pipe
