postcode,eastings,northings,source
AL1 1LN,515162,206876,postcodes
AL1 2NU,514595,205340,postcodes
AL1 2QA,514062,205732,postcodes
AL1 3RQ,515408,207339,postcodes
AL1 3SJ,515178,207803,postcodes
AL1 4PR,516318,207649,postcodes
AL1 5AR,516718,205808,postcodes
AL10 8AB,522909,208334,postcodes
AL10 8NL,522514,208173,postcodes
AL3 4AW,514062,206249,postcodes
AL3 4HB,514362,207138,postcodes
AL3 5AY,515175,208527,postcodes
AL3 6DB,515194,209265,postcodes
AL3 6DR,514375,209577,postcodes
AL4 0JA,518252,207701,postcodes
AL4 0TT,518230,206806,postcodes
AL4 0XB,517492,207641,postcodes
AL4 9NX,516857,209364,postcodes
AL5 3AE,512259,214762,postcodes
AL5 4QP,514095,215076,postcodes
AL5 4TD,513587,215005,postcodes
AL5 5FH,514999,215108,postcodes
AL6 0BJ,523688,215931,postcodes
AL7 2AF,525654,213071,postcodes
AL7 4RZ,525542,211010,postcodes
AL8 6YN,522583,211967,postcodes
AL8 6YR,522890,211688,postcodes
AL8 7LW,523540,215221,postcodes
AL8 7NL,523380,214986,postcodes
AL9 6NN,526435,203841,postcodes
AL9 6NS,526770,203393,postcodes
AL9 7BN,525545,204751,postcodes
B1 2RX,405967,287033,postcodes
B10 0HJ,410609,284997,postcodes
B10 0NR,409407,285850,postcodes
B10 9RX,409945,286120,postcodes
B11 1AR,408392,285552,postcodes
B11 1PL,409434,284707,postcodes
B12 0TP,407948,285577,postcodes
B12 0YH,407768,285294,postcodes
B12 8NJ,408130,284274,postcodes
B12 9FF,407850,284924,postcodes
B12 9LB,407249,284488,postcodes
B13 0TW,408653,281306,postcodes
B13 8QB,407139,282459,postcodes
B13 8QG,406767,282687,postcodes
B13 9UU,409339,282395,postcodes
B14 4HN,409395,279517,postcodes
B14 7EG,407559,281752,postcodes
B14 7QJ,406741,281461,postcodes
B15 1RX,405471,285571,postcodes
B15 2AF,406474,285707,postcodes
B15 2UA,405294,283628,postcodes
B15 2UB,405170,283652,postcodes
B15 2UR,405870,284797,postcodes
B15 3AU,405383,285772,postcodes
B15 3DU,405269,285703,postcodes
B15 3TS,405020,285454,postcodes
B16 9GD,403144,286643,postcodes
B16 9SL,404102,286398,postcodes
B17 8QB,402596,285647,postcodes
B17 9TG,402444,284700,postcodes
