origin_id,reason
88_8,"Sea west of Kitteren Hill, St Agnes. Cell centre confirmed offshore on OpenStreetMap on 2026-09-14 after the 20260914T083817Z sample check: https://www.openstreetmap.org/?mlat=49.895439&mlon=-6.339002#map=17/49.895439/-6.339002"
88_14,Sea between Bryher and Tresco. Cell centre confirmed offshore on OpenStreetMap on 2026-09-14 after the 20260914T083817Z sample check: https://www.openstreetmap.org/?mlat=49.949248&mlon=-6.343844#map=17/49.949248/-6.343844
89_10,"Sea west of the Garrison, St Mary's. Cell centre confirmed offshore on OpenStreetMap on 2026-09-14 after the 20260914T083817Z sample check: https://www.openstreetmap.org/?mlat=49.913896&mlon=-6.326727#map=17/49.913896/-6.326727"
91_16,"Sea west of Tinkler's Hill, St Martin's. Cell centre confirmed offshore on OpenStreetMap on 2026-09-14 after the 20260914T083817Z sample check: https://www.openstreetmap.org/?mlat=49.968742&mlon=-6.303749#map=17/49.968742/-6.303749"
92_15,"Lawrence's Bay, St Martin's. Cell centre confirmed offshore on OpenStreetMap on 2026-09-14 after the 20260914T083817Z sample check: https://www.openstreetmap.org/?mlat=49.960289&mlon=-6.289046#map=17/49.960289/-6.289046"
244_54,River Tamar south of the Torpoint ferry. Cell centre confirmed offshore on OpenStreetMap on 2026-09-14 after the 20260914T083817Z sample check: https://www.openstreetmap.org/?mlat=50.369798&mlon=-4.187960#map=17/50.369798/-4.187960
244_55,River Tamar in the Torpoint ferry channel. Cell centre confirmed offshore on OpenStreetMap on 2026-09-14 after the 20260914T083817Z sample check: https://www.openstreetmap.org/?mlat=50.378785&mlon=-4.188374#map=17/50.378785/-4.188374
244_56,Tidal Tamar off Devonport dockyard. Cell centre confirmed offshore on OpenStreetMap on 2026-09-14 after the 20260914T083817Z sample check: https://www.openstreetmap.org/?mlat=50.387772&mlon=-4.188788#map=17/50.387772/-4.188788
88_15,Sea immediately west of Tresco near Palace Row. Cell centre confirmed offshore on OpenStreetMap on 2026-09-15 after the completed fallback in run 20260915T011918Z: https://www.openstreetmap.org/?mlat=49.958216&mlon=-6.344652#map=17/49.958216/-6.344652
89_15,"Sea southeast of Old Grimsby, Tresco. Cell centre confirmed offshore on OpenStreetMap on 2026-09-15 after the completed fallback in run 20260915T011918Z: https://www.openstreetmap.org/?mlat=49.958737&mlon=-6.330751#map=17/49.958737/-6.330751"
90_11,"Sea off Porthloo, west of the St Mary's golf course. Cell centre confirmed offshore on OpenStreetMap on 2026-09-15 after the completed fallback in run 20260915T011918Z: https://www.openstreetmap.org/?mlat=49.923382&mlon=-6.313640#map=17/49.923382/-6.313640"
92_16,"Great Bay, St Martin's. Cell centre confirmed offshore on OpenStreetMap on 2026-09-15 after the completed fallback in run 20260915T011918Z: https://www.openstreetmap.org/?mlat=49.969258&mlon=-6.289845#map=17/49.969258/-6.289845"
596_191,"Cell centre in mapped tidal water alongside the Foulness military area. Confirmed on OpenStreetMap on 2026-09-15 after the 1,000 metre fallback in run 20260915T011918Z: https://www.openstreetmap.org/?mlat=51.588080&mlon=0.835147#map=17/51.588080/0.835147"
